,0,1
0,Morpheus,"I imagine that right now, you're feeling a bit like Alice. Tumbling down the rabbit hole?"
1,Neo,You could say that.
2,Morpheus,"I see it in your eyes. You have the look of a man who accepts what he sees because he is expecting to wake up. Ironically, that's not far from the truth. Do you believe in fate, Neo?"
3,Neo,No.
4,Morpheus,Why not?
5,Neo,Because I don't like the idea that I'm not in control of my life.
6,Morpheus,"I know exactly what you mean. Let me tell you why you're here. You're here because you know something. What you know you can't explain, but you feel it. You've felt it your entire life, that there's something wrong with the world. You don't know what it is, but it's there, like a splinter in your mind, driving you mad. It is this feeling that has brought you to me. Do you know what I'm talking about?"
7,Neo,The Matrix.
8,Morpheus,Do you want to know what it is?
9,Neo,Yes.
10,Morpheus,"The Matrix is everywhere. It is all around us. Even now, in this very room. You can see it when you look out your window or when you turn on your television. You can feel it when you go to work… when you go to church… when you pay your taxes. It is the world that has been pulled over your eyes to blind you from the truth."
11,Neo,What truth?
12,Morpheus,"That you are a slave, Neo. Like everyone else, you were born into bondage. Into a prison that you cannot taste or see or touch. A prison for your mind."
